Move Component(s) Origin to Grid
Filename     : C:\Users\Daniel Martinez\Documents\GitHub\ee209-2022-project-team13\Daniel\PCB_Design\209_Design\EE209_PCB.PcbDoc
Date         : 06/09/2022
Time         : 12:41:15
Time Elapsed : 00:00:00


    DIP Component U3-LM324 (2820mil,2900mil) on Top Layer - Component origin is already ON grid.
    Small Component C11-* (2875mil,2255mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C10-* (3180mil,3080mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C9-* (4455mil,3055mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C8-* (3480mil,3075mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C7-* (2595mil,2065mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C6-* (2050mil,2065mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C5-* (4410mil,2342.402mil) on Top Layer - Component pads are OFF grid. No action taken.
    Small Component C4-* (1654.213mil,1415mil) on Top Layer - Component pads are OFF grid. No action taken.
    Small Component C3-* (2305mil,3675mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C2-* (1655mil,1785mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
    Small Component C1-* (2790mil,3680mil) on Top Layer - Component origin is already ON grid. - Component pads are OFF grid. No action taken.
count : 55
